"Date","Price","Open","High","Low","Vol.","Change %"
"01-05-2021","1,464.40","1,322.52","1,496.28","1,316.18","64.89M","9.49%"
"01-04-2021","1,337.43","1,428.78","1,444.59","1,303.06","48.20M","-5.53%"
"01-03-2021","1,415.71","1,452.72","1,561.48","1,356.99","75.49M","-1.64%"
"01-02-2021","1,439.25","1,342.72","1,589.42","1,334.19","89.92M","8.08%"
"01-01-2021","1,331.70","1,280.11","1,393.26","1,280.11","80.15M","3.66%"
"01-12-2020","1,284.70","1,137.44","1,335.49","1,101.62","133.49M","14.72%"
"01-11-2020","1,119.88","910.28","1,174.35","901.13","135.06M","23.09%"
"01-10-2020","909.79","890.66","973.56","857.48","128.05M","3.09%"
"01-09-2020","882.49","944.49","950.42","825.13","97.93M","-4.59%"
"01-08-2020","924.92","893.65","1,003.22","884.40","110.14M","3.45%"
"01-07-2020","894.09","921.05","943.96","877.30","103.14M","-3.20%"
"01-06-2020","923.65","924.62","973.91","855.47","141.50M","1.22%"
"01-05-2020","912.49","861.34","917.63","774.92","107.09M","3.87%"
"01-04-2020","878.52","789.74","923.01","746.63","109.04M","11.01%"
"01-03-2020","791.36","1,179.45","1,186.65","646.99","136.04M","-31.92%"
"01-02-2020","1,162.38","1,343.50","1,354.37","1,137.37","70.35M","-13.27%"
"01-01-2020","1,340.27","1,280.66","1,347.81","1,256.14","71.01M","5.48%"
"01-12-2019","1,270.68","1,302.34","1,314.43","1,228.40","75.34M","-2.43%"
"01-11-2019","1,302.34","1,445.40","1,449.65","1,286.29","64.10M","-9.67%"
"01-10-2019","1,441.82","1,448.63","1,464.73","1,351.77","48.37M","-0.08%"
"01-09-2019","1,443.00","1,298.87","1,518.12","1,261.77","66.20M","10.99%"
"01-08-2019","1,300.09","1,350.74","1,369.73","1,246.99","61.68M","-4.26%"
"01-07-2019","1,357.89","1,530.31","1,557.91","1,331.66","70.87M","-10.68%"
"01-06-2019","1,520.27","1,530.55","1,551.40","1,463.55","47.52M","-0.28%"
"01-05-2019","1,524.53","1,320.84","1,572.93","1,258.05","76.31M","15.50%"
"01-04-2019","1,319.96","1,360.63","1,396.70","1,308.27","45.24M","-2.65%"
"01-03-2019","1,355.93","1,272.73","1,385.00","1,249.98","66.24M","7.14%"
"01-02-2019","1,265.54","1,287.61","1,306.26","1,175.64","63.49M","-1.62%"
