"Date","Price","Open","High","Low","Vol.","Change %"
"01-11-2023","3,896.90","3,309.80","3,920.00","3,275.00","11.86M","18.25%"
"01-10-2023","3,295.55","3,426.90","3,546.85","3,287.20","7.81M","-4.39%"
"01-09-2023","3,446.95","3,350.00","3,539.20","3,308.00","12.54M","3.31%"
"01-08-2023","3,336.60","3,375.00","3,478.85","3,274.90","14.53M","-0.86%"
"01-07-2023","3,365.50","3,590.95","3,666.00","3,160.00","28.81M","-5.99%"
"01-06-2023","3,580.10","3,713.70","3,748.00","3,465.05","10.25M","-2.50%"
"01-05-2023","3,671.95","3,326.95","3,727.00","3,321.00","16.93M","11.23%"
"01-04-2023","3,301.10","3,050.00","3,308.70","2,922.20","11.32M","11.95%"
"01-03-2023","2,948.85","3,106.00","3,219.95","2,836.00","11.09M","-5.06%"
"01-02-2023","3,105.90","3,280.00","3,354.95","3,091.15","13.20M","-4.82%"
"01-01-2023","3,263.35","3,227.00","3,278.85","3,060.00","10.45M","1.10%"
"01-12-2022","3,227.75","3,489.60","3,500.00","3,088.20","14.91M","-7.37%"
"01-11-2022","3,484.50","3,889.65","3,889.65","3,346.30","16.01M","-9.50%"
"01-10-2022","3,850.45","3,781.00","3,864.10","3,377.00","12.09M","4.87%"
"01-09-2022","3,671.60","3,241.00","3,787.25","3,241.00","16.55M","9.31%"
"01-08-2022","3,358.75","3,109.90","3,513.70","2,913.05","24.48M","8.58%"
"01-07-2022","3,093.45","2,775.00","3,179.00","2,745.75","14.92M","10.70%"
"01-06-2022","2,794.35","2,770.15","2,922.95","2,585.05","15.23M","0.49%"
"01-05-2022","2,780.75","2,624.90","2,818.65","2,310.00","17.93M","5.72%"
"01-04-2022","2,630.35","2,457.15","2,707.65","2,421.10","12.48M","7.05%"
"01-03-2022","2,457.15","2,574.80","2,579.00","2,159.55","18.24M","-5.12%"
"01-02-2022","2,589.80","2,658.70","2,762.75","2,488.45","13.58M","-2.11%"
"01-01-2022","2,645.50","2,620.10","2,880.00","2,570.25","14.80M","2.07%"
"01-12-2021","2,591.90","2,410.00","2,604.20","2,360.40","12.44M","9.34%"
"01-11-2021","2,370.45","2,490.00","2,777.00","2,360.00","18.33M","-4.60%"
"01-10-2021","2,484.80","2,787.00","2,959.75","2,471.55","14.77M","-10.95%"
"01-09-2021","2,790.20","2,680.00","2,994.00","2,662.05","18.22M","4.14%"
"01-08-2021","2,679.25","2,558.80","2,768.75","2,471.20","26.86M","5.89%"
"01-07-2021","2,530.25","2,680.00","2,765.00","2,509.00","12.55M","-5.27%"
"01-06-2021","2,671.15","2,610.00","2,797.90","2,610.00","12.42M","-0.19%"
"01-05-2021","2,676.15","2,382.50","2,710.00","2,356.10","15.64M","10.51%"
"01-04-2021","2,421.65","2,610.80","2,649.00","2,303.70","18.65M","-7.00%"
"01-03-2021","2,603.95","2,523.00","2,716.00","2,497.15","21.97M","4.22%"
"01-02-2021","2,498.60","2,777.00","3,018.00","2,450.00","33.16M","-8.95%"
"01-01-2021","2,744.30","2,531.00","3,037.00","2,515.80","38.77M","8.43%"
"01-12-2020","2,530.90","2,559.95","2,609.00","2,340.60","29.88M","-0.15%"
"01-11-2020","2,534.65","2,079.80","2,727.00","2,015.20","40.18M","21.53%"
"01-10-2020","2,085.60","2,190.00","2,303.00","2,070.55","26.87M","-5.32%"
"01-09-2020","2,202.80","2,110.00","2,260.00","2,023.00","30.96M","5.30%"
"01-08-2020","2,092.00","2,072.50","2,387.25","2,006.67","66.62M","1.36%"
"01-07-2020","2,063.87","1,854.00","2,172.50","1,797.00","61.15M","12.57%"
"01-06-2020","1,833.43","1,690.00","1,855.11","1,559.11","63.49M","10.79%"
"01-05-2020","1,654.84","1,439.00","1,699.69","1,285.55","53.89M","12.51%"
"01-04-2020","1,470.80","1,309.59","1,497.80","1,245.01","44.13M","12.31%"
"01-03-2020","1,309.59","1,666.60","1,852.86","1,295.00","44.36M","-21.12%"
"01-02-2020","1,660.23","2,029.00","2,064.16","1,631.70","38.09M","-18.17%"
"01-01-2020","2,028.93","2,251.52","2,259.48","1,980.01","35.43M","-9.89%"
"01-12-2019","2,251.52","2,271.50","2,287.66","2,066.50","26.46M","-1.60%"
"01-11-2019","2,288.14","2,258.70","2,345.00","2,103.42","27.54M","1.52%"
"01-10-2019","2,253.81","1,796.00","2,268.02","1,759.40","32.23M","26.87%"
"01-09-2019","1,776.52","1,597.10","1,956.50","1,553.00","39.49M","9.27%"
"01-08-2019","1,625.84","1,595.00","1,778.80","1,520.00","38.75M","-0.55%"
"01-07-2019","1,634.81","1,929.00","2,028.88","1,597.66","29.58M","-14.58%"
"01-06-2019","1,913.88","1,986.00","2,036.00","1,883.10","15.64M","-4.06%"
"01-05-2019","1,994.78","1,999.00","2,164.90","1,820.50","25.76M","-2.06%"
"01-04-2019","2,036.83","2,078.87","2,156.00","1,992.10","20.38M","-0.87%"
"01-03-2019","2,054.77","1,990.40","2,335.50","1,932.00","29.66M","3.42%"
"01-02-2019","1,986.91","1,909.00","2,196.50","1,907.60","25.19M","4.54%"
