"Date","Price","Open","High","Low","Vol.","Change %"
"01-11-2021","107.12","134.00","137.29","106.30","1.90B","-18.60%"
"01-10-2021","131.60","127.50","142.65","126.50","1.64B","2.10%"
"01-09-2021","128.89","145.13","147.60","123.29","2.09B","-11.13%"
"01-08-2021","145.02","144.60","153.45","131.07","3.20B","1.11%"
"01-07-2021","143.43","117.19","148.18","113.02","2.38B","22.95%"
"01-06-2021","116.66","112.00","119.20","105.03","2.94B","3.64%"
"01-05-2021","112.57","103.19","124.68","101.85","5.32B","8.86%"
"01-04-2021","103.40","82.10","105.26","81.90","5.05B","27.36%"
"01-03-2021","81.18","72.40","82.35","68.13","4.20B","13.52%"
"01-02-2021","71.51","60.49","75.30","59.74","4.71B","18.99%"
"01-01-2021","60.10","64.50","73.15","59.60","4.33B","-6.63%"
"01-12-2020","64.36","59.20","65.35","57.69","3.59B","11.48%"
"01-11-2020","57.74","41.00","58.24","39.87","4.62B","40.63%"
"01-10-2020","41.06","36.43","42.60","36.25","3.75B","14.12%"
"01-09-2020","35.97","41.39","44.37","34.28","3.21B","-12.89%"
"01-08-2020","41.30","36.47","44.20","36.21","3.45B","12.75%"
"01-07-2020","36.63","32.90","37.85","32.03","3.11B","12.12%"
"01-06-2020","32.67","30.20","35.08","30.00","3.67B","10.67%"
"01-05-2020","29.52","28.50","29.86","26.25","2.42B","-1.04%"
"01-04-2020","29.83","26.60","30.45","25.10","2.82B","10.65%"
"01-03-2020","26.96","39.37","39.40","25.08","4.06B","-29.38%"
"01-02-2020","38.17","43.15","48.72","37.50","2.86B","-12.98%"
"01-01-2020","43.87","47.30","50.60","43.65","2.72B","-7.06%"
"01-12-2019","47.21","42.49","47.63","38.90","3.54B","10.42%"
"01-11-2019","42.75","38.01","43.43","37.80","3.76B","12.34%"
"01-10-2019","38.06","36.20","39.97","32.03","2.82B","5.56%"
"01-09-2019","36.05","34.10","38.88","32.73","2.59B","4.52%"
"01-08-2019","34.49","42.75","43.19","32.22","2.82B","-20.17%"
"01-07-2019","43.21","50.99","51.49","40.62","1.84B","-14.34%"
"01-06-2019","50.44","48.90","51.65","46.37","1.79B","3.30%"
"01-05-2019","48.83","55.41","56.17","45.51","2.46B","-12.37%"
"01-04-2019","55.72","53.00","56.08","50.90","1.84B","6.95%"
"01-03-2019","52.10","50.35","53.19","50.20","1.25B","4.11%"
"01-02-2019","50.04","47.70","51.23","45.20","2.04B","4.98%"
