"Date","Price","Open","High","Low","Vol.","Change %"
"01-12-2020","500.31","459.13","517.29","452.01","371.72M","10.03%"
"01-11-2020","454.71","426.98","485.83","426.98","272.10M","6.80%"
"01-10-2020","425.76","418.15","479.01","386.74","510.49M","3.04%"
"01-09-2020","413.19","507.96","548.70","408.48","719.04M","-17.96%"
"01-08-2020","503.64","544.28","554.59","498.64","536.16M","-7.52%"
"01-07-2020","544.63","564.40","585.80","533.04","349.52M","-0.89%"
"01-06-2020","549.53","548.70","582.76","527.10","488.59M","1.31%"
"01-05-2020","542.42","493.19","600.72","490.69","544.77M","7.45%"
"01-04-2020","504.82","431.89","526.07","404.80","270.94M","16.65%"
"01-03-2020","432.77","524.16","526.12","355.08","346.98M","-15.78%"
"01-02-2020","513.85","484.31","558.37","474.39","306.36M","5.45%"
"01-01-2020","487.30","447.64","517.63","432.23","477.33M","8.92%"
"01-12-2019","447.40","462.47","476.65","409.90","301.68M","3.02%"
"01-11-2019","434.30","356.65","447.25","343.84","453.02M","18.22%"
"01-10-2019","367.35","363.18","389.68","319.50","323.61M","1.96%"
"01-09-2019","360.29","339.13","367.99","326.42","131.26M","5.84%"
"01-08-2019","340.41","328.83","371.77","315.23","212.58M","2.73%"
"01-07-2019","331.38","340.61","364.31","322.05","123.84M","-2.61%"
"01-06-2019","340.26","345.02","360.19","328.14","114.06M","-0.62%"
"01-05-2019","342.37","316.95","349.44","306.84","181.80M","8.90%"
"01-04-2019","314.40","300.93","329.51","299.80","197.16M","4.73%"
"01-03-2019","300.21","286.42","321.34","272.27","198.42M","4.73%"
"01-02-2019","286.64","274.97","294.67","263.93","115.74M","3.80%"
