"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2021","744.97","780.06","798.01","723.33","360.31M","-2.66%"
"01-02-2021","765.30","703.37","818.46","698.76","398.72M","10.35%"
"01-01-2021","693.52","718.21","753.95","669.33","406.42M","-3.19%"
"01-12-2020","716.37","718.64","722.70","670.83","448.94M","-0.32%"
"01-11-2020","718.64","595.69","730.38","587.29","512.00M","21.74%"
"01-10-2020","590.31","543.70","623.95","543.70","511.26M","9.73%"
"01-09-2020","537.96","562.60","571.55","511.23","417.04M","-3.34%"
"01-08-2020","556.54","511.70","572.97","495.27","584.47M","8.04%"
"01-07-2020","515.12","531.60","577.54","508.76","705.58M","-3.10%"
"01-06-2020","531.60","486.29","539.96","462.85","935.98M","12.00%"
"01-05-2020","474.64","477.56","478.81","412.02","766.40M","-5.01%"
"01-04-2020","499.66","430.85","508.24","403.99","795.49M","16.23%"
"01-03-2020","429.88","598.61","599.08","368.46","946.27M","-26.81%"
"01-02-2020","587.36","608.49","628.39","583.60","262.45M","-3.97%"
"01-01-2020","611.63","636.47","650.81","604.37","275.82M","-3.60%"
"01-12-2019","634.47","635.39","651.13","615.57","234.03M","-0.22%"
"01-11-2019","635.89","617.96","641.90","612.28","224.66M","3.62%"
"01-10-2019","613.65","614.22","630.38","589.11","274.40M","0.24%"
"01-09-2019","612.20","553.62","639.76","540.65","352.10M","10.19%"
"01-08-2019","555.61","555.89","570.83","533.57","361.57M","-0.83%"
"01-07-2019","560.27","611.12","622.89","553.15","281.94M","-7.86%"
"01-06-2019","608.07","603.90","620.70","597.93","202.46M","0.76%"
"01-05-2019","603.49","578.15","613.36","565.23","280.43M","4.66%"
"01-04-2019","576.64","578.58","580.26","555.13","309.10M","-0.06%"
"01-03-2019","577.00","519.11","579.28","515.07","291.34M","11.62%"
"01-02-2019","516.95","517.54","536.22","515.87","172.59M","-0.12%"
