"Date","Price","Open","High","Low","Vol.","Change %"
"01-10-2021","2,383.66","2,695.27","2,723.16","2,358.61","40.01M","-11.42%"
"01-09-2021","2,691.08","2,734.11","2,847.96","2,666.38","33.48M","-0.82%"
"01-08-2021","2,713.30","2,332.71","2,726.59","2,315.38","35.23M","16.75%"
"01-07-2021","2,324.05","2,474.15","2,503.43","2,308.81","22.44M","-5.58%"
"01-06-2021","2,461.50","2,337.69","2,523.90","2,321.36","32.27M","5.61%"
"01-05-2021","2,330.77","2,333.71","2,437.25","2,310.15","26.57M","-0.58%"
"01-04-2021","2,344.42","2,437.10","2,495.96","2,290.88","42.28M","-3.20%"
"01-03-2021","2,421.86","2,126.73","2,428.93","2,119.56","50.28M","14.05%"
"01-02-2021","2,123.59","2,267.62","2,279.62","2,111.59","52.29M","-5.82%"
"01-01-2021","2,254.92","2,385.90","2,447.21","2,242.07","43.94M","-5.49%"
"01-12-2020","2,385.90","2,150.44","2,407.81","2,111.69","50.14M","12.03%"
"01-11-2020","2,129.72","2,063.78","2,211.54","2,034.90","48.82M","3.23%"
"01-10-2020","2,063.08","2,081.71","2,199.74","2,059.80","47.77M","0.15%"
"01-09-2020","2,060.05","2,141.42","2,176.33","1,992.12","49.27M","-2.32%"
"01-08-2020","2,108.95","2,201.04","2,225.94","2,092.32","36.95M","-4.19%"
"01-07-2020","2,201.14","2,165.08","2,330.71","2,107.56","65.94M","1.81%"
"01-06-2020","2,162.11","2,057.97","2,181.90","2,037.19","77.56M","5.96%"
"01-05-2020","2,040.46","2,112.52","2,142.27","1,886.39","318.49M","-6.27%"
"01-04-2020","2,176.99","2,274.38","2,592.84","2,110.49","104.22M","-4.50%"
"01-03-2020","2,279.64","2,172.03","2,294.02","1,742.88","67.40M","5.69%"
"01-02-2020","2,156.90","2,032.53","2,289.26","2,013.39","42.23M","6.91%"
"01-01-2020","2,017.56","1,914.16","2,068.68","1,890.80","26.56M","5.79%"
"01-12-2019","1,907.22","2,021.27","2,045.08","1,891.70","28.46M","-5.52%"
"01-11-2019","2,018.60","2,147.33","2,172.03","1,991.52","27.54M","-6.44%"
"01-10-2019","2,157.50","1,972.68","2,169.30","1,911.83","33.49M","9.76%"
"01-09-2019","1,965.68","1,847.71","2,083.41","1,778.88","31.71M","5.32%"
"01-08-2019","1,866.45","1,706.88","1,873.50","1,692.00","34.74M","8.99%"
"01-07-2019","1,712.48","1,784.14","1,801.10","1,645.43","24.73M","-3.41%"
"01-06-2019","1,772.93","1,779.28","1,849.64","1,730.68","18.43M","-0.05%"
"01-05-2019","1,773.82","1,742.08","1,790.09","1,642.41","30.77M","1.75%"
"01-04-2019","1,743.27","1,695.97","1,748.13","1,636.46","24.97M","2.98%"
"01-03-2019","1,692.79","1,720.76","1,741.09","1,646.38","33.06M","-1.49%"
"01-02-2019","1,718.43","1,748.78","1,831.84","1,707.87","27.48M","-1.74%"
