"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-2020","659.21","504.64","672.23","469.99","956.50M","31.63%"
"01-03-2020","500.82","609.34","615.59","393.75","918.58M","-16.17%"
"01-02-2020","597.45","631.92","678.10","595.81","371.04M","-5.88%"
"01-01-2020","634.77","682.59","723.51","632.77","403.47M","-6.76%"
"01-12-2019","680.82","719.47","727.36","678.12","346.19M","-2.39%"
"01-11-2019","697.50","654.27","712.34","639.67","337.25M","5.93%"
"01-10-2019","658.47","601.21","669.85","576.16","331.66M","9.92%"
"01-09-2019","599.07","558.60","600.64","527.30","366.48M","6.70%"
"01-08-2019","561.43","523.14","586.57","492.52","482.74M","7.06%"
"01-07-2019","524.42","565.70","584.57","522.69","318.96M","-6.93%"
"01-06-2019","563.48","600.31","617.96","561.48","269.08M","-5.79%"
"01-05-2019","598.13","625.94","637.40","551.97","495.05M","-4.50%"
"01-04-2019","626.30","616.04","635.11","594.01","337.06M","2.17%"
"01-03-2019","613.01","556.24","624.14","547.96","376.91M","10.74%"
"01-02-2019","553.56","554.89","594.10","542.30","352.14M","0.32%"
