"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2022","914.75","844.35","931.00","809.10","74.42M","8.40%"
"01-02-2022","843.90","847.40","902.85","815.00","72.19M","1.13%"
"01-01-2022","834.50","845.00","871.00","784.80","75.26M","-1.32%"
"01-12-2021","845.70","756.75","850.95","733.70","102.92M","12.22%"
"01-11-2021","753.60","798.95","836.00","746.05","78.04M","-5.21%"
"01-10-2021","795.00","812.00","851.00","779.35","59.20M","-2.84%"
"01-09-2021","818.25","795.05","832.95","751.05","78.99M","3.05%"
"01-08-2021","794.05","785.00","804.35","743.35","109.03M","2.60%"
"01-07-2021","773.95","675.00","783.75","664.20","102.26M","14.58%"
"01-06-2021","675.45","670.10","686.35","652.70","84.62M","1.07%"
"01-05-2021","668.30","653.95","721.85","642.00","187.58M","2.12%"
"01-04-2021","654.45","600.00","666.60","592.75","162.98M","9.48%"
"01-03-2021","597.80","600.00","636.75","562.10","120.69M","0.54%"
"01-02-2021","594.60","596.00","654.40","579.60","186.13M","1.43%"
"01-01-2021","586.20","592.50","628.00","550.40","162.67M","-1.04%"
"01-12-2020","592.35","518.00","599.45","512.65","222.83M","15.77%"
"01-11-2020","511.65","467.90","526.00","459.05","235.02M","9.86%"
"01-10-2020","465.75","505.10","529.30","452.25","162.47M","-6.93%"
"01-09-2020","500.45","521.20","535.00","483.00","233.44M","-3.81%"
"01-08-2020","520.25","534.10","564.75","514.05","223.68M","-2.15%"
"01-07-2020","531.70","473.50","541.00","466.15","230.61M","12.42%"
"01-06-2020","472.95","483.50","512.70","455.00","254.37M","-0.27%"
"01-05-2020","474.25","464.45","481.60","434.25","203.83M","2.11%"
"01-04-2020","464.45","353.00","504.80","338.40","383.52M","31.83%"
"01-03-2020","352.30","378.00","414.80","312.00","234.59M","-5.52%"
"01-02-2020","372.90","432.95","441.75","369.45","124.82M","-14.14%"
"01-01-2020","434.30","432.95","462.50","431.25","92.21M","0.40%"
"01-12-2019","432.55","449.00","449.60","420.65","103.63M","-3.85%"
"01-11-2019","449.85","434.65","467.40","407.10","171.27M","3.80%"
"01-10-2019","433.40","388.50","440.55","372.60","81.52M","11.29%"
"01-09-2019","389.45","450.00","456.00","386.55","157.04M","-13.53%"
"01-08-2019","450.40","424.80","453.40","408.05","144.41M","5.54%"
"01-07-2019","426.75","402.00","443.30","365.40","177.35M","6.43%"
"01-06-2019","400.95","411.00","418.60","368.00","120.17M","-2.17%"
"01-05-2019","409.85","456.95","461.70","344.55","189.81M","-10.44%"
"01-04-2019","457.65","480.95","484.25","446.00","71.80M","-4.43%"
"01-03-2019","478.85","447.90","482.95","445.05","125.56M","7.57%"
"01-02-2019","445.15","421.20","455.00","403.30","162.95M","5.12%"
