Return,Volatility,Sharpe,Annual_Return,Annual_Vol,Annual_Sharpe
0.015657837257611926,0.05062258744253164,0.20230436862934673,0.20495017433476614,0.17536178692212606,0.7008028901183436
0.016314561791179336,0.052235379312855906,0.208630534857254,0.21433294746580112,0.1809486618449974,0.7227173727660672
0.01681576230730444,0.04885863712552319,0.23330768746889619,0.22153872224838134,0.16925128377995435,0.8082015369850577
0.01901203882934336,0.06414744613182863,0.2119394143102285,0.2535792032853912,0.22221327175222966,0.7341796674234122
0.016332101946367167,0.055048610765991164,0.19828720703055447,0.21458446341651216,0.19069398146555958,0.6868870341356981
0.014579261834761308,0.05676006183481639,0.16142680032237638,0.18968441486410725,0.19662262187730628,0.5591988397232638
0.016427308744858052,0.044034305253219296,0.2500469126258421,0.21595050857398723,0.15253930794914586,0.8661879138873886
0.013302934791118938,0.04519187731804603,0.1745063182250923,0.17184887062795173,0.1565492552085505,0.6045076188152851
0.01344334293271906,0.04414568673330667,0.1818224352141858,0.17379888067044957,0.15292514471421298,0.6298513914937408
0.018663945854436485,0.048990908355183764,0.2704028080419969,0.24845019757985942,0.1697094847602578,0.9367028040760657
0.014426126279035072,0.04992623492961621,0.18045541838012702,0.1875314220437474,0.17294955105743048,0.6251159062709573
0.014622139824080744,0.050171575086543,0.18347985171952805,0.19028789419342051,0.1737994342912987,0.6355928506868528
0.018231760783555723,0.05845239740135973,0.21923983765618738,0.24210890000567598,0.20248504424672412,0.7594690757273378
0.016514466257264805,0.051793178655376824,0.21427145193078506,0.21720229569205962,0.1794168338332091,0.7422580827113442
0.01542221996319005,0.04785542307882852,0.209078776297558,0.20160008778800997,0.16577604838047044,0.7242701266633959
0.020022484268648756,0.06307748837040397,0.23155356973336869,0.26857731158202136,0.21850682934274931,0.8021250949042751
0.01249212685793092,0.04676577277151937,0.15129569708667895,0.1606462108265163,0.16200138899098548,0.5241036686413569
0.020568277752056715,0.05260425865212332,0.2880301229143635,0.2767468080212696,0.1822264973599446,0.9977656139959724
0.017339505634348083,0.05258782931802958,0.22672240178572473,0.22911045751879522,0.18216958447717482,0.7853894382138399
0.016499281060649976,0.060060924409223886,0.18452287411482615,0.2169841155688652,0.20805714525265903,0.6392059862510298
0.018096966336057903,0.05695551880585386,0.22263513589639994,0.24013715794893242,0.1972997046863671,0.7712307338451324
0.017133778593101508,0.05023143619348759,0.23326253068499644,0.2261311546193272,0.17400679924854942,0.8080451092970162
0.016199837934255827,0.04739267114785426,0.22752824448210862,0.2126890489604556,0.1641730286689744,0.7881809591999304
0.01444033028462107,0.04500289991664345,0.20051293660338487,0.1877309713444859,0.15589461828712728,0.6945971875437997
0.01635585368360756,0.052135848683125804,0.2098208294915788,0.21492512607173375,0.18060387762979366,0.7268406743313215
0.01618069542232871,0.05866109308852768,0.1834951956898866,0.21241495118424236,0.2032079873137149,0.6356460037593544
0.018578706923400894,0.0484121791758581,0.2718745671192136,0.24719717278548647,0.1677047080754284,0.9418011270725456
0.022167719925052287,0.056117803733528454,0.29849801923694036,0.30096598510017913,0.19439777455129942,1.0340274705541055
0.01465577934624122,0.0495179444721738,0.18658110262970218,0.19076154462970663,0.1715351914243589,0.6463358989737344
0.017553955932821816,0.06181321659000417,0.19635427398414781,0.2322231518649649,0.21412726342629326,0.6801911576476876
0.0169690424088109,0.049406870391145365,0.23382124086561518,0.22375024849814107,0.17115041952086835,0.8099805381360914
